song,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,genre
Duda,Los Cadetes De Linares,0.617,0.6759999999999999,124618,0.59,0.0,2,0.0448,-2.7230000000000003,1,0.0408,96.4,4,0.868,2,corrido
El Carretonero,Los Cadetes De Linares,0.057,0.481,231746,0.5820000000000001,0.0,8,0.326,-6.672000000000001,1,0.0559999999999999,185.371,3,0.706,12,corrido
El Chubasco (En Vivo),Los Cadetes De Linares,0.6890000000000001,0.649,206094,0.949,0.000172,10,0.5529999999999999,-2.962,1,0.061,122.32,4,0.877,7,corrido
Eres,Los Cadetes De Linares,0.491,0.73,228481,0.629,0.0,10,0.0933,-6.943,1,0.0349,100.503,4,0.851,3,corrido
Flor De Mi Sprimeros Años,Los Cadetes De Linares,0.927,0.685,130508,0.4539999999999999,0.000658,5,0.0921,-7.029,1,0.0308,102.924,4,0.901,2,corrido
Flor De Mis Primeros Años,Los Cadetes De Linares,0.927,0.685,130508,0.4539999999999999,0.000658,5,0.0921,-7.029,1,0.0308,102.924,4,0.901,5,corrido
Hace Un Año,Los Cadetes De Linares,0.313,0.5820000000000001,196220,0.481,1.32e-6,8,0.0516,-5.999,1,0.0382,187.026,3,0.606,4,corrido
La Chafan,Los Cadetes De Linares,0.22,0.8759999999999999,167654,0.989,0.845,5,0.0549,-5.734,1,0.051,118.926,4,0.97,3,corrido
La Fuga De Uruapan,Los Cadetes De Linares,0.211,0.701,208333,0.831,2.63e-6,8,0.0748,-5.649,1,0.0609,123.975,4,0.58,13,corrido
La Mosca,Los Cadetes De Linares,0.1939999999999999,0.73,191962,0.8390000000000001,0.0,10,0.0419,-4.493,1,0.0435,97.442,4,0.964,2,corrido
La Venganza Del Viejito (En Vivo),Los Cadetes De Linares,0.593,0.422,203377,0.838,0.0,10,0.66,-2.801,1,0.133,178.665,3,0.8490000000000001,7,corrido
Las Tres Tumbas,Los Cadetes De Linares,0.7509999999999999,0.445,154215,0.563,0.0,10,0.0435,-5.176,1,0.0785,193.453,3,0.934,11,corrido
Las Tres Tumbas (En Vivo),Los Cadetes De Linares,0.332,0.429,183942,0.627,0.0,10,0.384,-8.059,1,0.321,170.97400000000002,3,0.5820000000000001,7,corrido
Los Dos Amigos,Los Cadetes De Linares,0.625,0.629,180024,0.3829999999999999,3.21e-5,8,0.0609,-7.994,1,0.0377,173.641,3,0.8059999999999999,6,corrido
Luis Aguirre,Los Cadetes De Linares,0.556,0.475,191693,0.58,0.0,7,0.0373,-5.047,1,0.103,201.087,3,0.795,11,corrido
Me Voy Nomas No Llores,Los Cadetes De Linares,0.203,0.8,145699,0.627,3.72e-5,8,0.299,-6.236000000000001,1,0.0457,122.585,4,0.872,2,corrido
Mi Amigo,Los Cadetes De Linares,0.569,0.6970000000000001,165657,0.604,0.0,0,0.0322,-3.326,1,0.0266,97.603,4,0.747,11,corrido
Mi Corazaon Esta Llorando,Los Cadetes De Linares,0.815,0.649,121327,0.667,6.97e-6,3,0.0675,-5.395,1,0.0315,109.113,4,0.963,4,corrido
Mi Primer Amor,Los Cadetes De Linares,0.297,0.8440000000000001,158029,0.902,0.0,8,0.129,-2.125,1,0.0545,114.845,4,0.823,2,corrido
Mi Ultimo Deseo,Los Cadetes De Linares,0.3829999999999999,0.847,142408,0.659,0.0,8,0.0888,-5.537999999999999,1,0.0298,108.65,4,0.868,7,corrido
No Dejare De Amar,Los Cadetes De Linares,0.322,0.7909999999999999,145098,0.535,1.14e-6,9,0.0649,-6.384,1,0.0307,106.736,4,0.763,1,corrido
Nomas Las Mujeres Quedan,Los Cadetes De Linares,0.335,0.777,194444,0.526,0.0007559999999999,3,0.109,-8.15,1,0.0784,111.351,4,0.638,19,corrido
Pescadores De Ensenada,Los Cadetes De Linares,0.45,0.581,188613,0.496,0.0,8,0.0999,-6.523,1,0.0577,178.292,3,0.68,13,corrido
Pistoleros Famosos,Los Cadetes De Linares,0.306,0.501,173049,0.491,0.0,10,0.0613,-6.504,1,0.0409,184.998,3,0.789,10,corrido
Polvo Maldito,Los Cadetes De Linares,0.5920000000000001,0.622,164586,0.4629999999999999,0.0,7,0.0693,-4.945,1,0.0389,176.85299999999998,3,0.8859999999999999,14,corrido
Prenda Querida,Los Cadetes De Linares,0.596,0.856,181055,0.526,0.0216,3,0.102,-8.906,1,0.0613,110.381,4,0.84,26,corrido
Prenda Querida (En Vivo),Los Cadetes De Linares,0.292,0.7070000000000001,180468,0.785,0.000169,8,0.2769999999999999,-7.662999999999999,1,0.093,118.207,4,0.7859999999999999,8,corrido
Quiero Verte,Los Cadetes De Linares,0.155,0.752,155324,0.597,0.0,8,0.11,-7.462000000000001,0,0.0374,116.163,4,0.943,3,corrido
Regalo Caro (En Vivo),Los Cadetes De Linares,0.5539999999999999,0.3,258287,0.883,0.0,8,0.868,-2.575,1,0.065,176.18599999999998,3,0.802,5,corrido
Regalo De Reyes,Los Cadetes De Linares,0.606,0.723,162182,0.467,0.0,5,0.225,-7.526,1,0.0478,93.31,4,0.7959999999999999,17,corrido
Si Quieres Tu Volver,Los Cadetes De Linares,0.8859999999999999,0.565,134322,0.386,9.86e-6,3,0.0698,-12.183,1,0.0579999999999999,99.179,4,0.892,10,corrido
Si Tu Supieras,Los Cadetes De Linares,0.0875,0.773,128615,0.4639999999999999,0.0,0,0.19,-5.797000000000001,1,0.0394,97.165,4,0.7829999999999999,2,corrido
Tabernero,Los Cadetes De Linares,0.251,0.564,162090,0.616,5.39e-5,8,0.128,-4.962,1,0.0584,204.603,4,0.883,4,corrido
Tanto Se Habla,Los Cadetes De Linares,0.59,0.7140000000000001,168426,0.662,1.91e-5,0,0.0861,-5.617999999999999,0,0.036,99.574,4,0.7170000000000001,1,corrido
Tu Sabes Que Te Quiero,Los Cadetes De Linares,0.175,0.72,147383,0.8740000000000001,0.00104,10,0.0319,-5.16,1,0.0421,119.611,4,0.939,2,corrido
Un Abismo,Los Cadetes De Linares,0.8540000000000001,0.887,138606,0.503,0.000935,3,0.0898,-8.972000000000001,1,0.114,114.51,4,0.973,2,corrido
Del 1 Al 10 (feat. Los Plebes Del Rancho De Ariel Camacho),Los Dareyes De La Sierra,0.774,0.8009999999999999,175277,0.669,1.32e-5,9,0.0687,-5.196000000000001,1,0.0402,102.579,3,0.917,59,corrido
Dicen De Mi - En Vivo,Los Del Arroyo,0.685,0.643,192831,0.687,0.000217,4,0.391,-6.54,1,0.0317,112.218,3,0.8859999999999999,24,corrido
Diez Charolas - En Vivo,Los Del Arroyo,0.7959999999999999,0.565,237226,0.511,0.000302,7,0.402,-7.421,1,0.039,97.521,3,0.764,27,corrido
El Tapón - En Vivo,Los Del Arroyo,0.667,0.628,203291,0.5870000000000001,0.000121,9,0.154,-6.023,1,0.0309,115.106,3,0.698,24,corrido
Cabezones Azules,Los Hijos De Garcia,0.545,0.627,216053,0.539,5.24e-5,9,0.228,-3.863,0,0.132,117.364,3,0.905,52,corrido
Estando Encerrado,Los Hijos De Garcia,0.177,0.62,184597,0.778,2.71e-6,7,0.2339999999999999,-6.593999999999999,1,0.102,100.366,3,0.7140000000000001,41,corrido
Humilde Serenata,Los Hijos De Garcia,0.192,0.3939999999999999,268000,0.606,5.45e-6,10,0.17,-5.855,1,0.0366,170.058,3,0.508,42,corrido
Jardin Verde,Los Hijos De Garcia,0.0782,0.787,149984,0.772,0.0,2,0.48,-6.212000000000001,1,0.106,104.908,3,0.481,53,corrido
Loco Malandro (feat. El De La Guitarra),Los Hijos De Garcia,0.23,0.731,161694,0.7759999999999999,2.75e-6,4,0.13,-5.044,0,0.0554,109.916,3,0.607,57,corrido
Lujos De La Vida,Los Hijos De Garcia,0.118,0.759,170240,0.8420000000000001,1.21e-5,11,0.138,-6.436,0,0.1,115.05,3,0.64,59,corrido
Respeto Me Dan,Los Hijos De Garcia,0.497,0.7559999999999999,194144,0.667,0.00257,7,0.294,-4.976,1,0.0376,115.073,3,0.971,47,corrido
Ya Me Voy,Los Hijos De Garcia,0.198,0.713,225579,0.626,1.78e-6,5,0.158,-5.892,1,0.0712,150.22899999999998,3,0.64,40,corrido
Nomas Por Tu Culpa,Los Huracanes del Norte,0.287,0.5579999999999999,222080,0.476,0.0,10,0.16,-6.839,1,0.2189999999999999,163.21200000000002,3,0.68,37,corrido
Pa' que Te Casabas Juan,Los Huracanes del Norte,0.476,0.897,144120,0.631,3.83e-6,5,0.0851,-4.581,1,0.0997,110.498,1,0.932,36,corrido
Te Perdone Una Vez,Los Huracanes del Norte,0.322,0.541,175151,0.529,0.0,0,0.0656,-6.796,1,0.156,163.87,3,0.755,37,corrido
El Capiro,Los Invasores De Nuevo León,0.2789999999999999,0.879,183840,0.777,0.000452,9,0.0849,-5.705,1,0.0428,115.228,4,0.91,19,corrido
El Preso De Nuevo Leon,Los Invasores De Nuevo León,0.102,0.6990000000000001,178979,0.8959999999999999,0.0,9,0.0506,-1.892,1,0.11,111.915,4,0.861,26,corrido
El Ultimo Rodeo,Los Invasores De Nuevo León,0.447,0.472,136190,0.84,0.147,0,0.291,-4.095,1,0.0614,187.855,4,0.8440000000000001,25,corrido
La Mejor de Mis Tragedias,Los Invasores De Nuevo León,0.366,0.908,168304,0.7509999999999999,1.27e-5,9,0.0605,-5.443,1,0.0488,110.949,4,0.8170000000000001,38,corrido
Triste Estoy,Los Invasores De Nuevo León,0.0311,0.507,182506,0.444,5.28e-5,0,0.118,-8.125,0,0.0441,167.108,3,0.6990000000000001,24,corrido
Tus Errores,Los Invasores De Nuevo León,0.0709,0.6559999999999999,227593,0.3429999999999999,0.000384,0,0.125,-13.431,1,0.0957,173.176,4,0.8909999999999999,23,corrido
Cuento Perfecto,Los Nuevos Rebeldes,0.635,0.642,156600,0.515,0.0,4,0.17,-8.896,1,0.244,163.707,3,0.879,27,corrido
El Molinas Mg,Los Nuevos Rebeldes,0.419,0.7709999999999999,177216,0.731,0.0,11,0.395,-6.707000000000001,1,0.0929,87.46700000000001,4,0.968,43,corrido
Yo Fui el Elegante,Los Nuevos Rebeldes,0.5720000000000001,0.755,151484,0.588,0.0,9,0.0469,-5.31,1,0.191,129.976,3,0.939,51,corrido
El Noveno,Los Plebes del Rancho de Ariel Camacho,0.8220000000000001,0.609,176373,0.5770000000000001,0.0,11,0.1009999999999999,-4.792,0,0.034,106.557,3,0.953,55,corrido
Mi Perra Suerte,Los Ramones De Nuevo Leon,0.341,0.688,174256,0.5870000000000001,0.0,9,0.0978,-5.799,1,0.0411,152.722,3,0.638,22,corrido
Tu Boca Dice No,Los Ramones De Nuevo Leon,0.3339999999999999,0.785,191573,0.777,0.0,9,0.236,-4.828,1,0.0386,108.979,4,0.865,19,corrido
Idos De La Mente,Los Relámpagos,0.8079999999999999,0.512,192955,0.309,0.0,8,0.131,-8.311,1,0.0352,102.178,3,0.884,7,corrido
En una Peda,Los Sembradores,0.031,0.721,186386,0.8170000000000001,1.17e-5,2,0.307,-5.957999999999999,1,0.0278,106.16,4,0.949,36,corrido
Francisco Núñez,Los Sembradores,0.0814,0.722,237229,0.831,0.0,9,0.198,-5.985,1,0.0379,115.036,3,0.905,23,corrido
Mi Castigo,Los Sembradores,0.0569,0.57,194076,0.736,0.00015,5,0.138,-6.13,1,0.0419,179.96099999999998,3,0.907,18,corrido
Si Me Recuerdas,Los Sembradores,0.035,0.7490000000000001,201962,0.818,3.5e-5,2,0.22,-6.279,1,0.0297,110.073,4,0.958,30,corrido
Compararme Con El,Los Traileros Del Norte,0.293,0.773,189640,0.7040000000000001,2.66e-6,7,0.0661,-4.445,1,0.0353,91.988,4,0.604,15,corrido
Pecado Mortal,Los Traileros Del Norte,0.038,0.701,160640,0.644,3.9500000000000005e-5,7,0.0247,-4.42,1,0.0288,101.969,4,0.698,16,corrido
Que Juego Es Este,Los Traileros Del Norte,0.148,0.631,199640,0.6890000000000001,0.000179,0,0.0827,-5.35,1,0.084,176.226,4,0.823,13,corrido
Tiene Que Ser Así,Los Traileros Del Norte,0.144,0.708,196640,0.725,0.00247,10,0.113,-5.235,0,0.0381,93.999,4,0.621,14,corrido
Agente Del Gobierno,Los Tucanes De Tijuana,0.129,0.843,186493,0.867,0.0,9,0.0791,-6.715,1,0.0657,107.564,4,0.875,30,corrido
Barbarino,Los Tucanes De Tijuana,0.119,0.8370000000000001,198533,0.8,0.0,8,0.317,-6.787000000000001,1,0.0391,106.448,3,0.953,33,corrido
Cuando Te Bese,Los Tucanes De Tijuana,0.0741,0.826,200000,0.682,6.09e-6,7,0.0846,-6.872000000000001,1,0.0279999999999999,96.993,4,0.698,23,corrido
El Efectivo,Los Tucanes De Tijuana,0.0926,0.812,216547,0.794,1.76e-6,2,0.0964,-4.19,1,0.0295,111.93,4,0.969,36,corrido
El Karis,Los Tucanes De Tijuana,0.2339999999999999,0.8640000000000001,195573,0.778,0.0,10,0.0867,-6.553999999999999,1,0.0594,106.44,3,0.8959999999999999,42,corrido
El Peter,Los Tucanes De Tijuana,0.0672,0.852,233080,0.773,0.0,0,0.0977,-7.422999999999999,1,0.0543,143.02200000000002,4,0.906,21,corrido
Los Mas Buscados,Los Tucanes De Tijuana,0.445,0.82,174013,0.728,0.0,10,0.153,-3.791,1,0.0319,103.648,1,0.967,30,corrido
Nutella,Los Tucanes De Tijuana,0.00993,0.514,160347,0.76,4.71e-6,5,0.0852,-7.547999999999999,0,0.2289999999999999,199.422,3,0.845,23,corrido
Parrandeando,Los Tucanes De Tijuana,0.0135,0.578,221880,0.706,0.0,0,0.0866,-7.653,1,0.079,202.727,3,0.8170000000000001,49,corrido
Soy Parrandero,Los Tucanes De Tijuana,0.127,0.679,205360,0.787,1.73e-6,7,0.24,-7.284,1,0.0579,164.953,3,0.7759999999999999,49,corrido
Ya No Existes,Los Tucanes De Tijuana,0.0383,0.8490000000000001,208813,0.8240000000000001,2.41e-6,9,0.0818,-7.336,1,0.0417,111.52,4,0.892,24,corrido
Catan De Recodo,Luis y Julian,0.5,0.7240000000000001,152869,0.477,3.43e-6,7,0.0816,-13.336,1,0.0532,118.681,3,0.908,13,corrido
Catarino Y Los Rurales,Luis y Julian,0.418,0.667,209136,0.366,0.0185,5,0.0794,-15.388,1,0.0831,139.08,3,0.965,15,corrido
El Gato,Luis y Julian,0.275,0.498,206329,0.6970000000000001,4.95e-6,7,0.106,-4.622,1,0.188,182.307,3,0.7170000000000001,33,corrido
La Ultima Copa,Luis y Julian,0.698,0.723,157271,0.473,0.0,8,0.157,-7.887,1,0.0468,122.876,4,0.979,23,corrido
Nomas Las Mujeres Quedan,Luis y Julian,0.706,0.599,171747,0.5760000000000001,0.0,7,0.0343,-1.912,1,0.0613,186.866,3,0.94,4,corrido
Palomas Que Andan Volando,Luis y Julian,0.255,0.6809999999999999,166520,0.7909999999999999,0.000849,7,0.0544,-4.311,1,0.0962,113.211,4,0.8759999999999999,5,corrido
Reyna Entre las Flores,Luis y Julian,0.537,0.485,165707,0.637,1.8e-6,7,0.0445,-1.724,1,0.065,177.71900000000002,3,0.931,6,corrido
Rosita De La Frontera,Luis y Julian,0.2289999999999999,0.6629999999999999,162116,0.525,3.37e-5,7,0.107,-10.284,1,0.291,186.974,3,0.884,10,corrido
El Caimán,Marca Registrada,0.581,0.7909999999999999,178747,0.7709999999999999,0.000384,5,0.0996,-7.882000000000001,1,0.0944,110.121,1,0.88,16,corrido
El Jp,Marca Registrada,0.696,0.8029999999999999,225493,0.655,5.5e-5,8,0.0699,-7.211,1,0.0567,107.651,1,0.78,12,corrido
El Nayarita,Marca Registrada,0.54,0.725,220453,0.8370000000000001,0.0,10,0.122,-5.987,1,0.127,109.971,3,0.82,18,corrido
Hombre De Reaccion,Mayitos De Sinaloa,0.309,0.835,177998,0.6829999999999999,0.0,7,0.0622,-2.14,1,0.047,114.977,3,0.961,20,corrido
Dinero Maldito (Maldita Mi Suerte),Miguel Y Miguel,0.674,0.718,162075,0.451,0.0,7,0.0809,-9.738,1,0.0352,87.029,3,0.8190000000000001,21,corrido
Juanita y Miguel,Miguel Y Miguel,0.56,0.731,163561,0.411,2.12e-6,9,0.3339999999999999,-8.077,1,0.0417,93.879,3,0.918,35,corrido
Me Traicionaste Corazon,Miguel Y Miguel,0.629,0.575,193004,0.412,2.64e-6,9,0.139,-8.257,1,0.0471,172.092,3,0.74,35,corrido
Que Me Lleve el Diablo,Miguel Y Miguel,0.456,0.682,241279,0.408,4.88e-5,9,0.0716,-7.659,1,0.0281,83.025,3,0.73,27,corrido
El 2 (En Vivo),Panchito Arredondo,0.601,0.617,183519,0.838,2.8600000000000004e-5,5,0.204,-5.787999999999999,1,0.326,176.96200000000002,3,0.7829999999999999,15,corrido
El Bajador (En Vivo),Panchito Arredondo,0.525,0.847,223766,0.626,0.00457,2,0.152,-8.752,1,0.193,120.578,4,0.598,16,corrido
El Nino Traviezo (En Vivo),Panchito Arredondo,0.429,0.836,170578,0.7020000000000001,5.31e-5,5,0.159,-7.516,1,0.196,124.377,4,0.6709999999999999,21,corrido
Legado Del 20 (En Vivo),Panchito Arredondo,0.426,0.85,134514,0.784,1.13e-5,5,0.176,-6.794,1,0.184,126.931,3,0.8440000000000001,21,corrido
Lo Que Yo Sentia,Perdidos De Sinaloa,0.598,0.585,217850,0.573,0.0,0,0.0787,-5.136,1,0.0279999999999999,145.862,4,0.6459999999999999,58,corrido
Nuestro Adios,Perdidos De Sinaloa,0.591,0.61,197008,0.478,0.0,11,0.08,-5.736000000000001,0,0.0269,134.1,4,0.511,46,corrido
Asi Corre El Agua,Primera Generacion,0.6,0.414,218253,0.636,1.2e-6,5,0.121,-5.545,1,0.0638,171.734,3,0.578,12,corrido
Atrapado,Primera Generacion,0.389,0.701,184529,0.696,0.0,9,0.366,-3.449,1,0.0354,114.971,4,0.884,20,corrido
Bohemio De Aficion,Primera Generacion,0.517,0.539,210240,0.7040000000000001,0.0,9,0.236,-2.392,1,0.0678,87.58,3,0.88,17,corrido
Como Rayo,Primera Generacion,0.322,0.684,133016,0.782,0.0,7,0.308,-3.758,1,0.0398,119.494,3,0.7809999999999999,37,corrido
El De Los Chicles De Menta,Primera Generacion,0.527,0.665,173009,0.701,3.81e-5,9,0.0696,-5.488,1,0.0596,121.839,4,0.945,11,corrido
El Rayo,Primera Generacion,0.273,0.499,184451,0.546,0.0,2,0.0671,-5.765,1,0.0441,113.303,4,0.8809999999999999,58,corrido
Los Minions,Primera Generacion,0.23,0.62,183092,0.722,0.0,10,0.0706,-4.674,1,0.0356,132.30700000000002,3,0.963,38,corrido
Cicatriiices - En Vivo,Regulo Caro,0.435,0.589,162018,0.866,0.0,6,0.331,-5.0,1,0.0387,104.687,4,0.97,14,corrido
Corazon De Oropel,Regulo Caro,0.115,0.718,126613,0.504,6.91e-6,8,0.0761,-4.32,1,0.0461,122.93,4,0.6940000000000001,40,corrido
Desengañame,Regulo Caro,0.618,0.742,232763,0.6920000000000001,0.00399,7,0.243,-6.587999999999999,1,0.0296,100.11,4,0.964,31,corrido
El Beso Perfecto,Regulo Caro,0.746,0.7340000000000001,159085,0.45,2.62e-5,7,0.0989,-6.688,1,0.034,91.453,4,0.759,47,corrido
Eso Sí Nunca Podrás,Regulo Caro,0.66,0.674,190871,0.396,4.23e-6,7,0.0891,-6.505,1,0.0303,169.947,4,0.831,33,corrido
Mientras Viva,Regulo Caro,0.382,0.672,111520,0.499,0.0,8,0.31,-5.631,1,0.0653,102.391,3,0.952,33,corrido
Prenda del Alma,Regulo Caro,0.331,0.662,213810,0.616,8.55e-6,7,0.119,-6.922999999999999,1,0.0284,78.09100000000001,3,0.521,38,corrido
Que Te Casas,Regulo Caro,0.276,0.75,194462,0.727,8.61e-6,7,0.0884,-6.681,1,0.0258,104.954,4,0.7879999999999999,33,corrido
Y Llorarás,Regulo Caro,0.632,0.693,186487,0.581,0.00042,9,0.136,-6.655,1,0.0285,92.479,4,0.957,39,corrido
El Sinaloense - En Vivo,Remmy Valenzuela,0.43,0.431,202520,0.8390000000000001,0.0,10,0.0994,-2.911,1,0.0825,135.524,4,0.903,43,corrido
Espero Con Ansias - En Vivo,Remmy Valenzuela,0.4029999999999999,0.522,232067,0.501,0.0,7,0.491,-6.016,1,0.0345,131.80100000000002,4,0.569,39,corrido
Mentiras,Remmy Valenzuela,0.45,0.532,217600,0.591,1.17e-6,2,0.0715,-6.196000000000001,1,0.0296,99.008,4,0.642,62,corrido
Por Tenerte - En Vivo,Remmy Valenzuela,0.523,0.649,152360,0.831,0.0,8,0.278,-6.965,1,0.171,98.738,4,0.591,34,corrido
Viva El Amor,Remmy Valenzuela,0.2289999999999999,0.748,208000,0.8759999999999999,0.000173,5,0.0533,-6.808,1,0.0337,97.025,4,0.966,43,corrido
Entre Cigarro y Cigarro,Revolver Cannabis,0.3989999999999999,0.747,207328,0.765,2.83e-6,6,0.316,-3.044,0,0.0334,116.489,3,0.88,38,corrido
"Cómo, Dónde Y Cuándo - Versión Norteño Sax",Saul El Jaguar Alarcón,0.33,0.679,143773,0.916,1.02e-5,4,0.144,-4.871,0,0.0545,154.787,4,0.955,28,corrido
Evidencias - Versión Norteña,Saul El Jaguar Alarcón,0.372,0.659,213693,0.763,0.0,0,0.122,-5.3660000000000005,1,0.0587,115.009,4,0.643,22,corrido
Quién Te Dio Permiso - Versión Norteña,Saul El Jaguar Alarcón,0.5379999999999999,0.727,181067,0.7709999999999999,0.0,3,0.0964,-5.781000000000001,1,0.0382,115.03,4,0.883,30,corrido
Voy A Calar Con Otra Boca,Saul El Jaguar Alarcón,0.367,0.6609999999999999,185973,0.7390000000000001,0.0,5,0.2769999999999999,-5.138,1,0.0408,112.418,4,0.821,29,corrido
12 Ectarias (En Vivo),Saul Viera El Gavilancillo,0.165,0.72,210808,0.8079999999999999,0.00206,1,0.139,-7.166,0,0.239,123.899,4,0.8959999999999999,13,corrido
Bernardo Mata (En Vivo),Saul Viera El Gavilancillo,0.825,0.48,201613,0.595,0.0949,4,0.486,-8.997,1,0.312,202.264,3,0.695,24,corrido
El Verde Es Vida,T3R Elemento,0.8809999999999999,0.561,130937,0.5429999999999999,0.0,2,0.0931,-7.778,1,0.033,114.342,3,0.805,62,corrido
Empecé de Cero,T3R Elemento,0.741,0.722,170063,0.507,0.0,6,0.25,-7.86,0,0.0303,116.892,3,0.6940000000000001,69,corrido
Los Gustos del Muchacho,T3R Elemento,0.708,0.755,167894,0.475,0.0,5,0.121,-7.558,1,0.0303,115.412,3,0.865,58,corrido
Mágicos Besitos,T3R Elemento,0.629,0.621,198066,0.488,0.0,7,0.1969999999999999,-7.331,1,0.0356,76.429,4,0.7559999999999999,64,corrido
Bajo Perfil (feat. Tony Aguirre),Tito Torbellino Jr,0.512,0.7859999999999999,199627,0.667,0.0,7,0.1969999999999999,-7.733,1,0.0308,107.458,3,0.893,68,corrido
Diablo Debajo del Asiento,Tito Torbellino Jr,0.272,0.7090000000000001,154565,0.763,0.0,5,0.104,-6.0920000000000005,1,0.0488,113.743,3,0.8909999999999999,43,corrido
El 50,Tito Torbellino Jr,0.216,0.795,211611,0.6559999999999999,0.0,4,0.247,-6.382999999999999,1,0.0458,102.034,4,0.912,33,corrido
No Me Vean Como Enemigo,Tito Torbellino Jr,0.366,0.706,187151,0.831,0.0,10,0.297,-6.697,1,0.0513,108.132,3,0.899,44,corrido
Sigo en Sonora (Dueto) [feat. Hector Guerrero],Tito Torbellino Jr,0.216,0.5,181304,0.77,0.0,7,0.318,-6.354,1,0.221,112.131,4,0.914,30,corrido
Con Esfuerzo,Traviezoz de la Zierra,0.784,0.698,170683,0.623,0.0,5,0.308,-3.037,1,0.0444,100.762,3,0.8959999999999999,28,corrido
Cuando Anduve de Perro,Traviezoz de la Zierra,0.52,0.763,170599,0.519,0.0,5,0.119,-3.377,1,0.0655,94.909,3,0.901,47,corrido
Dueño Clandestino,Traviezoz de la Zierra,0.5579999999999999,0.537,207498,0.446,0.0,2,0.0909,-5.954,1,0.0383,165.081,3,0.745,16,corrido
Dónde Está Mi Amigo?,Traviezoz de la Zierra,0.391,0.713,244153,0.408,0.0,5,0.6629999999999999,-3.819,1,0.0398,121.917,3,0.569,42,corrido
El Amigo de Todos,Traviezoz de la Zierra,0.648,0.537,225775,0.611,0.0,4,0.187,-2.944,1,0.104,185.345,3,0.863,44,corrido
Héroes Sin Capa,Traviezoz de la Zierra,0.515,0.535,266080,0.54,0.0,11,0.267,-2.9930000000000003,0,0.0464,180.143,3,0.752,26,corrido
Lucky Lady,Tyagn,0.0649,0.7859999999999999,62346,0.435,0.8440000000000001,6,0.0603,-20.48,0,0.0669,110.025,4,0.948,0,corrido
Las Enseñanzas - En Vivo,Ulices Chaidez,0.608,0.728,160128,0.512,0.0,7,0.39,-6.403,1,0.237,116.809,3,0.969,36,corrido
Que La Quieran (Que La Cuiden),Ulices Chaidez,0.8240000000000001,0.7390000000000001,194797,0.444,0.0,7,0.0696,-7.13,1,0.0337,148.012,3,0.696,63,corrido
Reflejos Del Viejo - En Vivo,Ulices Chaidez,0.7170000000000001,0.5670000000000001,174093,0.531,7.6e-6,5,0.0771,-6.91,1,0.0482,120.847,3,0.838,37,corrido
Con Mi Soledad,Virlan Garcia,0.711,0.5920000000000001,175272,0.618,0.0,1,0.303,-4.849,0,0.0359,159.994,3,0.826,55,corrido
El Viaje Demi Vida,Virlan Garcia,0.209,0.732,213141,0.544,8.72e-6,0,0.1009999999999999,-6.029,1,0.0328,117.068,4,0.632,48,corrido
En Donde Esta Tu Amor,Virlan Garcia,0.5820000000000001,0.501,217429,0.4,0.0,0,0.0692,-4.76,1,0.0352,73.054,4,0.556,73,corrido
"Ni Tú, Ni Yo",Virlan Garcia,0.7909999999999999,0.633,153093,0.6459999999999999,0.0,9,0.296,-5.456,1,0.0414,153.167,3,0.774,50,corrido
Te Comparto,Virlan Garcia,0.812,0.619,217674,0.471,0.0,3,0.148,-5.504,1,0.0381,149.891,3,0.723,62,corrido
Dios Te Bendiga,Voz De Mando,0.486,0.437,172189,0.31,0.0,0,0.131,-6.954,1,0.037,71.702,1,0.345,23,corrido
El Que a Ti Te Gusta,Voz De Mando,0.63,0.6459999999999999,192261,0.627,1.75e-5,4,0.102,-6.064,1,0.0684,94.93,3,0.807,50,corrido
Mentiras,Voz De Mando,0.59,0.648,141483,0.54,1.6100000000000002e-5,7,0.534,-6.696000000000001,1,0.0361,90.012,4,0.504,22,corrido
Mi Cajita de Madera,Voz De Mando,0.6509999999999999,0.667,240802,0.488,0.0,7,0.103,-5.596,1,0.0445,147.998,4,0.354,21,corrido
Tarde,Voz De Mando,0.853,0.6679999999999999,165063,0.4039999999999999,0.0,4,0.131,-5.584,1,0.0436,117.999,3,0.369,22,corrido
Drink To That,17 Memphis,0.392,0.642,177624,0.763,4.27e-6,8,0.225,-5.329,1,0.0419,100.953,4,0.657,23,country
Millionaire,17 Memphis,0.418,0.624,156667,0.63,0.0,7,0.1119999999999999,-5.129,1,0.0312,107.953,4,0.3879999999999999,15,country
Weekends in a Small Town,A Thousand Horses,0.0467,0.462,205871,0.7020000000000001,0.0,8,0.151,-5.8020000000000005,1,0.0332,82.955,4,0.417,28,country
State I’m In,Aaron Lewis,0.109,0.605,181173,0.561,0.0,1,0.172,-5.225,1,0.0248,127.903,4,0.276,47,country
Worth a Shot,Aaron Pritchett,0.00893,0.565,222443,0.867,0.0,8,0.262,-5.856,1,0.0655,120.054,4,0.7509999999999999,38,country
July In Cheyenne (Song for Lane's Momma) - Live,Aaron Watson,0.0192,0.4529999999999999,267486,0.698,1.13e-6,1,0.606,-9.265,0,0.0401,128.791,4,0.465,28,country
The Christmas Waltz,Aaron Watson,0.875,0.3779999999999999,170227,0.348,2.13e-6,4,0.135,-9.021,0,0.0296,128.155,3,0.24,20,country
